riset,gender,usia.pasti,kat.pekerjaan,status,peng.kel,jum.kel,peng.prib,bahan.masak,air.minum,kepemilikan,edukasi,ses.final,skor.peng.prib,skor.bahan.masak,skor.air.minum,total.skor,skor.ses.nielsen,skor.ses,,,total.skor,
ar school 2018,Wanita,37,Housewife,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,SMA,Upper 1,8,4,3,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,37,Employee/wage earner,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,41,Housewife,Menikah & sudah punya anak,15000000,5,3000000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,S1/S2/S3,Super upper,9,4,3,16,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,36,Housewife,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,20000000,5,4000000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,S1/S2/S3,Super upper,9,4,3,16,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,12000000,4,3000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,43,Housewife,Menikah & sudah punya anak,12000000,5,2400000,Gas kota/Biogas,Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,39,Housewife,Menikah & sudah punya anak,7000000,3,2333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,High,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,46,Employee/wage earner,Menikah & sudah punya anak,4000000,3,1333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,8000000,5,1600000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,34,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,37,Housewife,Menikah & sudah punya anak,7000000,5,1400000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,48,Housewife,Menikah & sudah punya anak,20000000,3,6666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,46,Employee/wage earner,Menikah & sudah punya anak,7000000,2,3500000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Upper 2,9,2,4,15,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,27,Housewife,Menikah & sudah punya anak,4000000,3,1333333.333,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,39,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,S1/S2/S3,Upper 2,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,43,Housewife,Menikah & sudah punya anak,8000000,3,2666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,S1/S2/S3,Upper 1,9,4,4,17,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air isi ulang,Super high,S1/S2/S3,Upper 1,8,4,3,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,47,Housewife,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,36,Housewife,Menikah & sudah punya anak,14000000,5,2800000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,9,4,4,17,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,44,Employee/wage earner,Menikah & sudah punya anak,3000000,3,1000000,Elpiji 3 kg,Air kemasan bermerek,Low,Diploma,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,33,Employee/wage earner,Menikah & sudah punya anak,15000000,6,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,48,Housewife,Menikah & sudah punya anak,7500000,3,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,41,Housewife,Menikah & sudah punya anak,11000000,5,2200000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,43,Housewife,Menikah & sudah punya anak,6000000,5,1200000,Elpiji 3 kg,Air kemasan bermerek,Medium,Diploma,Upper 2,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,32,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,7000000,4,1750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,36,Employee/wage earner,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,32,Housewife,Menikah & sudah punya anak,5000000,4,1250000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,39,Housewife,Menikah & sudah punya anak,5000000,4,1250000,Elpiji 3 kg,Air kemasan bermerek,Super high,Diploma,Upper 2,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,26,Housewife,Menikah & sudah punya anak,6000000,5,1200000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,30,Employee/wage earner,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,29,Housewife,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,30,Housewife,Menikah & sudah punya anak,8000000,5,1600000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,40,Housewife,Menikah & sudah punya anak,8000000,4,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMA,Upper 2,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,10000000,6,1666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,40,Employer/self employed,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,42,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,28,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMA,Upper 2,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,S1/S2/S3,Upper 1,8,4,3,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,5000000,5,1000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMA,Upper 2,7,4,4,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,41,Employee/wage earner,Menikah & sudah punya anak,15000000,6,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,6000000,4,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air isi ulang,Medium,SMA,Upper 2,8,4,3,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,42,Housewife,Menikah & sudah punya anak,5000000,3,1666666.667,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,32,Housewife,Menikah & sudah punya anak,10000000,5,2000000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,28,Housewife,Menikah & sudah punya anak,7000000,4,1750000,Elpiji 3 kg,Air kemasan bermerek,Super high,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,46,Housewife,Menikah & sudah punya anak,7000000,5,1400000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,41,Housewife,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,43,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
