"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"73",73,"PT. Bayuaji Dunia Wisata","BAYUAJI TOUR","Gedung Wisma Bayuaji Lt. 4 Jl. Gandaria Iii No. 44 Kramat Pela, Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12130",NA,"https://himpuh.or.id/daftar-anggota/detail/213/pt-bayuaji-dunia-wisata"
"74",74,"PT. Bimalyndo Hajar Aswad","RIZKIA TOUR & TRAVEL","Jl. Adinegoro No. 15, Koto Tangah, Padang, Sumatera Barat, 25173",NA,"https://himpuh.or.id/daftar-anggota/detail/279/pt-bimalyndo-hajar-aswad"
"75",75,"PT. Bina Cipta Sarana Utama","Bina Umroh","Komplek Surapati Core Kav M-29 Jl. Phh Mustofa No. 39 Rt. 03/10, Arjasari, Bandung, Jawa Barat, 40192",NA,"https://himpuh.or.id/daftar-anggota/detail/334/pt-bina-cipta-sarana-utama"
"76",76,"PT. Bina Kreasi Pesona Selaras","BINA WISATA","Jl. Palbatu Raya No. 6 Casablanca No. 6 Rt. 001/rw. 004, Tebet, Jakarta Selatan, DKI Jakarta, 12810",NA,"https://himpuh.or.id/daftar-anggota/detail/153/pt-bina-kreasi-pesona-selaras"
"77",77,"PT. Biro Perjalanan Umum Dayakindo Kalimantan Utama","DKU","Jl. Panglima Batur, Komp. Citra Niaga Blok A/11, Samarinda Kota, Samarinda, Kalimantan Timur, 75111",NA,"https://himpuh.or.id/daftar-anggota/detail/27/pt-biro-perjalanan-umum-dayakindo-kalimantan-utama"
"78",78,"PT. Biro Perjalanan Wisata Cordova Abila","PT. CORDOVA ABILA Travel","Jl. Kemang Timur Raya No. 48, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 12730",NA,"https://himpuh.or.id/daftar-anggota/detail/215/pt-biro-perjalanan-wisata-cordova-abila"
"79",79,"PT. Biro Perjalanan Wisata Fattur","PT. FATTUR TOUR & TRAVEL","Jl. Matraman No. 16a, Senen, Jakarta Pusat, DKI Jakarta, 10430",NA,"https://himpuh.or.id/daftar-anggota/detail/33/pt-biro-perjalanan-wisata-fattur"
"80",80,"PT. Biro Perjalanan Wisata Hudaya Safari","HUDAYA SAFARI TRAVEL","Gedung Menara Da'wah, Jl. Kramat Raya No. 45, Senen, Jakarta Pusat, DKI Jakarta, 10450",NA,"https://himpuh.or.id/daftar-anggota/detail/161/pt-biro-perjalanan-wisata-hudaya-safari"
"81",81,"PT. Biro Perjalanan Wisata Neekoi","NEEKOI WISATA","Komp. Ruko Ratna Asri Residence No. 1 Jl. Raya Dr. Ratna, Babelan, Bekasi, Jawa Barat, 17422",NA,"https://himpuh.or.id/daftar-anggota/detail/54/pt-biro-perjalanan-wisata-neekoi"
"82",82,"PT. Biro Perjalanan Wisata Proconfo (Proin)","PROIN TRAVEL","Jl. Rs Fatmawati No. 15 Komplek Golden, Cilandak, Jakarta Selatan, DKI Jakarta, 12420",NA,"https://himpuh.or.id/daftar-anggota/detail/59/pt-biro-perjalanan-wisata-proconfo-proin"
